                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6143,                 5.0092,                 4.2092,                      0,                      0,                      0,                      0,                 4.4586,                 4.5011,                 4.1596,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 4.5217,                 5.0036,                 4.2303,                      0,                      0,                      0,                      0,                 4.4586,                 4.4983,                 4.1602,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 3.9371,                 4.9325,                 4.2262,                      0,                      0,                      0,                      0,                 4.4586,                 4.4983,                 4.1608,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                   4.03,                 4.8822,                 4.2048,                      0,                      0,                      0,                      0,                 4.4586,                 4.4928,                 4.1608,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                  3.856,                 4.7583,                 4.1723,                      0,                      0,                      0,                      0,                 4.4586,                   4.49,                 4.1603,             0.00012352,             0.00012352,             0.00012352
                      6,                 4.6303,                 4.7641,                 4.1539,                      0,                      0,                      0,                      0,                 4.4586,                 4.4867,                 4.1582,             0.00014941,             0.00014941,             0.00014941
                      7,                  4.295,                 4.7213,                 4.1313,                      0,                      0,                      0,                      0,                 4.4582,                 4.4838,                 4.1569,             0.00017474,             0.00017474,             0.00017474
                      8,                 4.0992,                 4.5904,                 4.1363,                      0,                      0,                      0,                      0,                 4.4467,                 4.4721,                 4.1541,              0.0001995,              0.0001995,              0.0001995
                      9,                 4.3664,                 4.5558,                 4.0838,                      0,                      0,                      0,                      0,                 4.4433,                 4.4685,                 4.1518,             0.00022369,             0.00022369,             0.00022369
                     10,                 4.1743,                 4.3776,                 4.0781,                      0,                      0,                      0,                      0,                 4.4413,                 4.4662,                 4.1498,             0.00024732,             0.00024732,             0.00024732
                     11,                 4.1251,                 4.3754,                 4.0658,                      0,                      0,                      0,                      0,                 4.4294,                 4.4549,                 4.1477,             0.00027038,             0.00027038,             0.00027038
                     12,                 3.4055,                 3.9705,                 4.0705,                      0,                      0,                      0,                      0,                 4.4246,                 4.4511,                 4.1435,             0.00029288,             0.00029288,             0.00029288
                     13,                  3.887,                 3.8926,                 4.0042,                      0,                      0,                      0,                      0,                 4.4092,                 4.4467,                 4.1396,             0.00031481,             0.00031481,             0.00031481
                     14,                 3.6495,                 3.7483,                 3.9899,                      0,                      0,                      0,                      0,                 4.4066,                 4.4463,                 4.1365,             0.00033617,             0.00033617,             0.00033617
                     15,                 3.1247,                 3.3239,                 3.9981,                      0,                      0,                      0,                      0,                 4.4066,                 4.4491,                 4.1324,             0.00035697,             0.00035697,             0.00035697
                     16,                 3.0364,                 3.3895,                 3.9124,                      0,                      0,                      0,                      0,                 4.3988,                  4.449,                 4.1297,             0.00037721,             0.00037721,             0.00037721
                     17,                 2.7127,                 3.0406,                 3.8368,                      0,                      0,                      0,                      0,                 4.3919,                 4.4506,                 4.1258,             0.00039687,             0.00039687,             0.00039687
                     18,                 2.6585,                  3.152,                 3.7963,                      0,                      0,                      0,                      0,                 4.3915,                 4.4589,                 4.1241,             0.00041597,             0.00041597,             0.00041597
                     19,                 2.5036,                 2.8784,                 3.6714,                      0,                      0,                      0,                      0,                 4.3934,                 4.4665,                 4.1234,             0.00043451,             0.00043451,             0.00043451
                     20,                 2.8038,                 2.8991,                 3.5844,                      0,                      0,                      0,                      0,                 4.4034,                 4.4838,                  4.125,             0.00045248,             0.00045248,             0.00045248
                     21,                 2.6807,                 2.7534,                 3.5248,                      0,                      0,                      0,                      0,                 4.4039,                 4.4783,                 4.1254,             0.00046988,             0.00046988,             0.00046988
                     22,                 2.4345,                 2.9996,                 3.5431,                      0,                      0,                      0,                      0,                 4.4061,                 4.4861,                 4.1268,             0.00048672,             0.00048672,             0.00048672
                     23,                  2.367,                 2.5984,                  3.241,                      0,                      0,                      0,                      0,                 4.4038,                 4.4804,                  4.123,             0.00050299,             0.00050299,             0.00050299
                     24,                 2.6421,                 2.6976,                 3.4315,                      0,                      0,                      0,                      0,                 4.3825,                 4.4647,                 4.1136,              0.0005187,              0.0005187,              0.0005187
                     25,                 2.3699,                  2.541,                 3.2841,                      0,                      0,                      0,                      0,                 4.3762,                 4.4591,                  4.107,             0.00053384,             0.00053384,             0.00053384
                     26,                 2.4004,                 2.8759,                 3.5218,                      0,                      0,                      0,                      0,                 4.3655,                 4.4565,                 4.1041,             0.00054841,             0.00054841,             0.00054841
                     27,                 2.3375,                 2.5926,                 3.3387,                      0,                      0,                      0,                      0,                 4.3771,                 4.4884,                 4.1068,             0.00056242,             0.00056242,             0.00056242
                     28,                 2.3534,                  2.429,                 3.1133,                      0,                      0,                      0,                      0,                 4.3771,                 4.4884,                 4.1068,             0.00057587,             0.00057587,             0.00057587
                     29,                 2.4513,                 2.5111,                 3.0795,                      0,                      0,                      0,                      0,                  4.428,                 4.5645,                 4.1264,             0.00058874,             0.00058874,             0.00058874
                     30,                 2.4021,                 2.3609,                 2.9548,                      0,                      0,                      0,                      0,                 4.4668,                 4.6183,                 4.1422,             0.00060105,             0.00060105,             0.00060105
                     31,                 2.1373,                 2.3635,                 2.9844,                      0,                      0,                      0,                      0,                 4.4668,                 4.6183,                 4.1422,              0.0006128,              0.0006128,              0.0006128
                     32,                 2.0293,                  2.391,                 2.9361,                      0,                      0,                      0,                      0,                 4.5138,                 4.6707,                 4.1629,             0.00062398,             0.00062398,             0.00062398
                     33,                 2.1822,                 2.3008,                 2.8072,                      0,                      0,                      0,                      0,                 4.5423,                  4.704,                 4.1749,             0.00063459,             0.00063459,             0.00063459
                     34,                 2.1203,                 2.2049,                 2.8327,                      0,                      0,                      0,                      0,                 4.5423,                  4.704,                 4.1749,             0.00064464,             0.00064464,             0.00064464
                     35,                 2.1825,                 2.2951,                 2.9162,                      0,                      0,                      0,                      0,                 4.5492,                 4.6994,                 4.1732,             0.00065412,             0.00065412,             0.00065412
                     36,                 2.1617,                 2.2517,                 2.8732,                      0,                      0,                      0,                      0,                 4.5592,                 4.7039,                  4.174,             0.00066303,             0.00066303,             0.00066303
