                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3175,                 4.9542,                 4.2568,                      0,                      0,                      0,                      0,                 4.0298,                 4.4666,                 4.1571,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 4.2604,                 4.8014,                 4.2025,                      0,                      0,                      0,                      0,                 4.0225,                 4.4574,                  4.152,             0.00015578,             0.00015578,             0.00015578
                      3,                 4.0374,                 4.0999,                 4.1884,                      0,                      0,                      0,                      0,                 4.0168,                 4.4567,                 4.1475,             0.00023856,             0.00023856,             0.00023856
                      4,                 3.3215,                 3.3012,                 4.2009,                      0,                      0,                      0,                      0,                 4.0188,                 4.4582,                 4.1447,              0.0003198,              0.0003198,              0.0003198
                      5,                 2.8867,                 2.9928,                 4.1306,                      0,                      0,                      0,                      0,                 4.0422,                 4.4702,                 4.1462,             0.00039949,             0.00039949,             0.00039949
                      6,                 2.8265,                 2.6098,                 3.8459,                      0,                      0,                      0,                      0,                 4.0748,                 4.4656,                 4.1525,             0.00047764,             0.00047764,             0.00047764
                      7,                 2.3705,                  2.762,                 3.8066,                      0,                      0,                      0,                      0,                 4.1053,                 4.4447,                 4.1596,             0.00055425,             0.00055425,             0.00055425
                      8,                 2.2361,                 2.3979,                 3.5437,                      0,                      0,                      0,                      0,                 4.1639,                 4.4835,                 4.1879,             0.00062932,             0.00062932,             0.00062932
                      9,                 2.1443,                 2.0945,                 3.3033,                      0,                      0,                      0,                      0,                 4.1777,                 4.5023,                 4.1995,             0.00070284,             0.00070284,             0.00070284
                     10,                 1.7711,                 1.8449,                 3.1031,                      0,                      0,                      0,                      0,                 4.1752,                 4.4581,                 4.1997,             0.00077482,             0.00077482,             0.00077482
                     11,                 1.8795,                 1.7547,                 2.9169,                      0,                      0,                      0,                      0,                 4.1798,                 4.3758,                 4.2002,             0.00084525,             0.00084525,             0.00084525
                     12,                 1.7357,                 1.4902,                 2.6726,                      0,                      0,                      0,                      0,                 4.1834,                 4.3425,                  4.208,             0.00091415,             0.00091415,             0.00091415
                     13,                 1.7411,                 1.5964,                 2.6253,                      0,                      0,                      0,                      0,                 4.2099,                 4.3838,                 4.2308,             0.00098149,             0.00098149,             0.00098149
                     14,                 1.6538,                 1.4094,                 2.3508,                      0,                      0,                      0,                      0,                 4.2728,                 4.3267,                 4.2817,              0.0010473,              0.0010473,              0.0010473
                     15,                 1.6315,                 1.3714,                 2.2974,                      0,                      0,                      0,                      0,                 4.2918,                 4.3456,                 4.3148,              0.0011116,              0.0011116,              0.0011116
                     16,                 1.6496,                 1.4179,                 2.2346,                      0,                      0,                      0,                      0,                 4.3237,                 4.2932,                 4.3264,              0.0011743,              0.0011743,              0.0011743
                     17,                 1.5934,                 1.3439,                 2.1763,                      0,                      0,                      0,                      0,                 4.3252,                 4.3716,                   4.33,              0.0012232,              0.0012232,              0.0012232
                     18,                 1.5735,                 1.3009,                 2.0982,                      0,                      0,                      0,                      0,                 4.3371,                 4.4078,                 4.3633,              0.0012104,              0.0012104,              0.0012104
                     19,                 1.4653,                 1.1895,                 1.9166,                      0,                      0,                      0,                      0,                 4.2829,                 4.3737,                 4.3258,              0.0011975,              0.0011975,              0.0011975
                     20,                 1.5634,                 1.2342,                 1.9447,                      0,                      0,                      0,                      0,                 4.0997,                 4.4128,                 4.2109,              0.0011846,              0.0011846,              0.0011846
                     21,                 1.5094,                 1.1626,                 1.8976,                0.00073,                  0.025,                0.00039,                  4e-05,                 3.9285,                 4.3445,                 4.0881,              0.0011718,              0.0011718,              0.0011718
                     22,                 1.2984,                 1.0539,                  1.782,                0.03737,                   0.05,                0.02891,                0.01368,                 2.3742,                  3.554,                 3.2445,              0.0011589,              0.0011589,              0.0011589
                     23,                 1.2075,                0.97685,                 1.5913,                0.08303,                    0.3,                0.10209,                0.05818,                 1.9433,                 2.9293,                 2.8723,              0.0011461,              0.0011461,              0.0011461
                     24,                 1.2456,                 1.0358,                  1.613,                  0.887,                  0.325,                0.52047,                0.28129,                 1.6362,                 1.9283,                 2.4604,              0.0011332,              0.0011332,              0.0011332
                     25,                 1.1793,                0.99274,                 1.6497,                0.95026,                  0.875,                0.94107,                0.54886,                 1.4499,                 1.3037,                 2.1902,              0.0011203,              0.0011203,              0.0011203
